age,weight,gender,edu_level,study_hours,sleep_hours,overwhelmed_freq,motivation_level,mental_exhaustion,concentration_diff,exam_anxiety,schedule_balance,procrastination,symptom_score,burnout_risk
21,107.1,1,3,8.9,6.9,2,1,5,3,4,5,4,6,Medium
18,102.3,1,1,8.2,5.3,3,3,3,1,3,2,2,5,Medium
27,88.0,0,1,5.2,5.1,2,3,3,3,4,5,3,4,Medium
29,116.7,0,2,10.9,4.1,2,3,3,4,4,3,3,3,Medium
25,60.0,1,2,4.0,5.4,5,1,5,5,3,3,4,5,Medium
22,53.2,1,4,11.4,6.4,4,2,4,5,2,3,5,5,Medium
27,109.0,0,2,2.5,7.1,4,3,4,2,4,5,3,4,Medium
19,77.9,0,4,4.9,6.1,4,4,2,3,2,1,4,4,Medium
21,108.5,1,1,10.7,3.2,3,5,3,3,4,3,3,3,Medium
24,112.0,1,3,3.1,6.8,2,2,2,2,2,3,4,3,Medium
17,49.7,1,2,7.7,5.5,3,1,5,3,3,3,5,4,Medium
21,111.3,2,4,2.8,4.1,3,4,2,3,2,4,3,2,Medium
25,78.6,0,1,6.8,6.6,5,5,5,4,3,2,4,6,Medium
25,83.3,0,2,7.6,7.7,2,4,5,5,2,1,3,5,Medium
22,92.0,1,3,7.7,4.7,3,2,2,3,2,1,4,3,Medium
19,114.5,1,2,3.0,7.0,2,5,3,2,5,2,1,3,Medium
18,46.4,0,2,5.6,3.2,5,4,3,2,4,4,2,4,Medium
22,80.8,0,4,7.9,8.0,5,2,4,5,4,3,4,5,Medium
22,96.6,1,2,4.8,8.2,4,5,5,4,4,4,2,6,Medium
17,99.2,0,2,5.7,4.3,4,2,5,3,4,2,3,5,Medium
20,96.9,0,1,8.5,7.1,3,2,3,3,3,2,5,5,Medium
19,55.1,1,3,5.8,6.9,4,4,5,5,4,5,5,6,Medium
16,67.5,1,2,2.8,5.0,4,3,5,3,2,4,5,6,Medium
22,71.9,1,2,7.4,7.4,4,3,3,1,5,4,4,5,Medium
26,105.3,0,1,4.7,6.9,4,3,3,3,3,1,3,5,Medium
28,65.9,1,2,5.0,3.3,4,4,5,2,4,5,4,6,Medium
20,60.8,1,1,4.9,7.9,1,1,5,3,5,3,2,5,Medium
16,116.8,1,1,6.2,7.5,3,3,5,5,4,3,3,5,Medium
30,45.7,1,2,9.3,6.5,4,3,5,1,2,3,2,6,Medium
26,119.8,0,1,5.5,6.6,4,2,4,2,5,3,5,5,Medium
19,95.8,0,1,2.9,5.8,3,2,4,4,5,2,4,4,Medium
15,107.1,0,2,5.9,3.6,3,1,5,2,1,3,2,6,Medium
26,67.1,0,1,3.0,9.2,2,2,5,3,3,3,3,6,Medium
24,46.1,1,2,3.4,6.9,1,4,3,4,4,4,4,3,Medium
20,100.3,1,1,4.6,4.4,4,4,3,4,3,4,4,4,Medium
27,107.6,1,2,4.6,8.9,2,3,2,2,2,1,2,3,Medium
26,100.5,1,2,3.9,7.3,3,1,4,1,2,2,4,5,Medium
23,55.7,0,3,3.3,4.5,2,4,4,3,1,4,4,4,Medium
15,101.5,0,2,6.4,5.4,5,4,2,1,4,1,4,5,Medium
25,102.7,0,1,5.2,8.6,3,4,5,4,5,3,5,5,Medium
25,94.4,0,1,10.0,7.1,3,2,3,3,5,2,4,4,Medium
29,102.5,0,2,2.6,5.8,4,2,3,3,3,3,2,5,Medium
24,108.4,1,4,3.9,7.1,5,5,5,4,4,2,2,5,Medium
30,91.0,2,1,6.4,7.8,4,1,3,1,4,2,5,5,Medium
26,51.6,0,2,3.5,7.2,3,3,2,3,3,2,5,4,Medium
26,81.6,0,1,6.8,7.9,4,1,4,4,2,3,3,5,Medium
30,50.8,1,2,2.8,7.8,1,3,3,3,3,4,4,4,Medium
29,75.6,0,2,1.6,5.3,3,4,5,2,3,4,4,5,Medium
28,75.5,1,2,2.8,6.9,5,3,4,2,2,3,3,5,Medium
28,50.0,1,3,5.4,7.3,3,4,1,5,4,1,2,3,Medium
29,71.2,1,2,5.2,4.3,3,1,5,4,2,5,4,6,Medium
28,53.3,0,1,5.2,4.2,3,2,5,2,3,3,5,6,Medium
17,105.6,1,2,9.5,6.9,3,3,5,5,4,3,4,5,Medium
26,116.1,1,2,7.0,4.6,4,4,5,4,3,3,3,5,Medium
21,50.4,1,2,6.5,6.5,4,3,3,4,2,3,3,5,Medium
18,116.6,0,2,3.8,3.0,3,4,3,4,4,2,4,4,Medium
30,84.2,0,2,5.4,6.7,1,1,4,2,4,3,5,3,Medium
23,67.5,1,2,5.4,3.7,4,2,5,5,1,5,4,6,Medium
17,50.8,1,3,3.2,5.9,5,5,4,4,4,1,1,6,Medium
19,82.5,1,2,7.2,5.4,3,4,3,3,3,3,5,3,Medium
17,104.6,1,3,8.9,7.7,2,4,3,3,3,1,4,4,Medium
21,98.0,1,1,3.8,6.4,4,3,2,3,2,4,3,3,Medium
19,48.8,0,2,4.6,4.8,5,4,4,2,2,4,3,6,Medium
23,50.5,1,4,12.8,4.0,4,3,3,4,3,3,3,4,Medium
21,75.2,1,2,2.1,5.3,5,1,3,2,4,3,5,5,Medium
16,67.1,1,3,11.6,4.7,4,4,5,3,3,2,1,6,High
18,62.4,1,3,4.3,4.0,4,2,4,3,4,1,4,4,Medium
23,66.1,0,1,3.7,9.1,3,4,4,3,4,2,4,5,Medium
26,105.3,1,2,6.2,4.2,4,1,4,4,1,2,4,6,Medium
28,114.7,0,1,3.8,7.8,3,5,5,3,2,3,2,6,Low
16,75.4,0,4,2.1,5.5,3,3,1,4,5,1,1,3,Medium
24,113.0,1,3,7.9,6.1,3,2,3,1,2,1,5,5,Medium
23,69.1,0,1,6.5,6.2,4,2,3,4,1,1,4,5,Medium
24,80.7,1,1,2.9,5.5,2,2,2,3,5,3,5,3,Medium
19,62.0,0,2,8.9,5.9,4,3,3,3,4,3,5,5,Medium
16,93.0,0,2,9.4,5.2,2,4,2,2,2,1,4,4,Medium
18,118.4,1,1,8.2,8.2,3,3,5,4,2,2,4,5,Medium
26,90.3,1,2,6.5,5.2,4,1,3,3,4,2,5,4,Medium
29,71.8,1,2,4.3,3.0,2,1,4,2,4,5,5,5,Medium
26,93.6,1,1,14.0,7.9,1,5,3,2,4,2,4,4,Medium
21,54.2,1,3,3.7,5.2,3,3,4,4,3,2,5,4,Medium
26,111.6,0,4,8.8,3.0,2,4,1,3,2,2,5,3,Medium
27,82.7,0,3,2.2,6.7,4,3,4,3,3,1,4,4,Medium
22,78.7,0,3,9.3,6.7,2,2,3,3,4,3,3,3,Medium
29,88.9,1,1,4.0,5.5,5,2,4,4,3,2,4,5,Medium
17,91.9,1,2,6.5,8.7,3,3,2,4,4,2,3,3,Medium
28,50.4,0,1,4.0,7.3,3,2,4,2,3,3,3,5,Medium
15,96.2,1,3,7.6,8.1,1,5,5,2,4,1,4,4,Medium
18,63.1,1,4,4.8,3.5,3,2,4,3,2,5,3,5,Medium
16,98.5,0,3,8.9,7.6,3,2,3,2,3,1,5,5,Medium
22,106.7,0,3,9.7,6.7,2,4,3,1,4,5,3,3,Medium
18,105.3,1,2,8.4,5.7,3,4,4,2,2,3,1,4,Medium
16,86.4,1,2,5.9,9.4,3,3,4,3,4,2,5,6,Medium
28,84.0,1,2,12.0,4.3,3,2,4,3,3,4,4,5,High
20,55.7,0,1,11.7,3.2,3,1,3,4,3,2,4,4,Medium
20,103.2,2,1,5.0,6.8,3,4,4,1,2,4,3,4,Medium
24,65.4,0,2,4.4,7.8,4,4,3,2,4,3,1,4,Medium
18,82.3,0,2,5.6,7.0,3,2,3,4,2,4,3,5,Medium
20,66.3,2,2,4.9,8.8,4,3,4,2,4,4,4,5,Medium
27,55.0,0,2,11.1,6.8,3,3,4,2,2,2,3,6,Medium
29,92.2,1,2,2.6,6.9,2,5,5,2,3,4,3,6,Medium
16,49.1,0,2,6.4,3.6,2,2,5,4,4,3,1,4,Medium
24,101.1,1,2,5.8,7.0,5,2,4,3,3,4,5,6,Medium
26,68.8,1,2,4.9,6.8,4,2,4,2,1,2,3,6,Medium
16,45.0,0,3,3.6,8.2,5,3,2,4,2,4,5,5,Medium
24,83.3,1,2,8.3,3.3,5,3,3,3,1,2,4,5,Medium
28,48.5,0,2,10.0,7.1,3,3,4,1,3,1,5,4,Medium
18,65.7,1,3,5.1,8.3,4,2,2,3,3,1,3,3,Medium
28,98.0,0,3,7.1,5.2,3,5,4,1,3,2,2,4,Medium
29,49.7,0,3,3.1,4.8,4,2,2,4,2,3,3,4,Medium
30,108.0,0,2,11.6,8.2,3,4,2,4,3,3,4,4,Low
29,45.3,0,1,4.3,5.0,3,5,3,3,1,4,4,5,Medium
22,63.5,1,2,5.5,3.4,3,2,3,4,4,1,4,5,Medium
28,100.6,0,2,5.2,8.7,4,3,2,2,3,5,5,4,Medium
21,68.7,0,4,10.1,4.8,4,3,4,3,2,4,4,5,High
26,52.6,0,2,8.0,7.7,3,5,4,2,3,4,3,5,Low
23,72.0,0,1,8.1,7.9,3,3,5,3,3,4,3,5,Medium
28,65.3,1,1,7.0,7.2,4,3,4,3,2,1,3,5,Medium
22,108.2,2,1,6.8,6.7,5,3,4,3,4,4,4,5,Medium
19,68.5,0,2,5.7,7.9,1,3,2,3,4,4,5,2,Medium
30,104.2,1,3,11.4,5.6,2,4,2,3,3,4,5,3,Medium
27,111.9,1,3,7.1,4.1,4,3,4,5,4,4,3,5,Medium
16,77.5,0,4,11.2,7.0,4,3,2,1,5,3,3,4,Medium
29,113.2,1,1,9.8,6.9,4,3,4,5,1,3,3,5,Medium
19,73.3,1,2,6.2,5.1,4,2,5,3,3,4,5,5,Medium
22,117.3,1,1,6.8,9.2,4,3,5,3,2,2,2,7,Medium
24,51.7,1,2,4.9,4.9,3,4,4,5,5,3,3,5,Medium
23,96.5,0,4,13.4,5.8,4,4,4,4,3,2,1,6,Medium
26,82.0,1,2,3.6,7.4,3,4,3,4,2,3,2,5,Low
26,74.1,1,3,9.1,7.8,3,5,3,4,3,1,3,3,Medium
26,92.5,1,2,9.0,9.0,4,2,3,3,5,2,3,5,Medium
27,97.8,1,1,9.5,8.0,4,3,2,4,4,2,2,5,Medium
23,45.3,0,1,8.0,4.2,4,3,3,1,4,2,2,4,Medium
27,57.5,2,2,5.6,5.9,5,2,5,4,5,2,5,5,Medium
29,98.5,1,3,6.3,8.9,5,4,2,4,4,1,3,5,Medium
27,95.0,0,1,5.5,3.9,5,4,5,4,5,2,1,6,Medium
15,117.5,0,3,10.3,7.6,5,2,5,4,3,4,2,7,Medium
23,102.1,1,3,6.0,7.0,3,2,4,3,1,2,2,4,Medium
21,116.3,0,2,5.4,7.3,3,2,4,3,3,4,3,5,Medium
23,97.7,0,3,3.4,7.8,4,1,3,3,2,4,4,5,Medium
22,67.4,1,2,6.4,8.5,3,3,3,3,4,2,2,5,Medium
15,52.9,0,2,8.9,8.5,3,2,3,1,1,3,4,4,Medium
26,103.6,0,3,6.1,9.4,2,3,3,5,4,1,5,3,Medium
22,93.3,0,4,6.0,8.6,4,3,4,4,3,1,5,5,Medium
22,48.6,0,2,9.7,7.4,2,3,5,3,4,3,4,4,Medium
29,72.0,1,2,4.9,7.6,3,3,4,4,4,3,4,5,Medium
25,116.8,1,1,8.5,8.1,3,5,3,4,3,5,3,4,Low
17,82.5,0,1,8.4,5.1,3,2,3,2,3,3,5,4,Medium
